id;orgao;objeto_licitacao;percentual;confianca;total_itens;itens_compativeis;principais_matches
07954480000179202524410;ESTADO DO CEARA;REGISTRO DE PREÇO - MATERIAL FARMACOLÓGICO ;62.26;MEDIA;7;2;HEPARINA 5000UI C/25 F/A 5ML I... (52%)|NOREPINEFRINA 8MG INJ 4ML C/50... (73%)
07954480000179202524412;ESTADO DO CEARA;REGISTRO DE PREÇO - MEDICAMENTO;74.66;ALTA;14;11;TEMOZOLAMIDA 20MG C/5 CPR... (52%)|ACIDO PERACETICO 0,2% 5L... (50%)|ACIDO URSODESOXICOLICO 300MG C... (82%)|ALOPURINOL 300MG CX/500 CPR (G... (80%)|BROMAZEPAM 6MG CX/30 CPR *(B-1... (80%)
11315213000129202583;FUNDO MUNICIPAL DE SAUDE;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MEDICAMENTOS, ATENDENDO A DEMANDA DA FARMÁCIA PUBLICA MUNICIPAL E COMPLEXO HOSPITALAR DO MUNICIPAL DE SAÚDE DE SANTA HELENA DE GOIÁS EM DECORRÊNCIA DO CAN;76.49;ALTA;546;308;ACICLOVIR 200 MG CX/30 CPR (G)... (82%)|ACIDO TRANEXAMICO 250MG C/100 ... (82%)|AMINOFILINA 240 MG 10ML C/100 ... (82%)|AMOXI+CLAV.POTASSIO 500/125MG ... (81%)|PENIC.G.POTASSICA 5.000.000 U ... (50%)
11722278000199202536;FUNDO MUNICIPAL DE SAUDE - FUNSAUDE;"O objeto da presente licitação é o registro de preços para eventual fornecimento de
forma parcelada de MEDICAMENTOS E INSUMOS PARA CAF (Central de Abastecimento Farmacêutico), visando atender as nece";71.18;ALTA;273;188;AMOXICILINA 250MG 60ML HOSP C/... (82%)|AMOXICILINA 250MG 60ML HOSP C/... (52%)|ACIDO FOLINICO 15MG CX/500 CPR... (82%)|ACIDO PERACETICO 0,2% 5L... (50%)|ACIDO FOLICO 0,2MG/ML 30ML... (82%)
07954480000179202524472;ESTADO DO CEARA;O objeto da licitação é o REGISTRO DE PREÇO PARA FUTURAS E EVENTUAIS AQUISIÇÕES DE MEDICAMENTOS, nas condições estabelecidas neste edital e seus anexos.;73.1;ALTA;11;9;ACIDO PERACETICO 0,2% 5L... (51%)|GLICOSE 25 %  10 ML CX C/200... (50%)|NINTEDANIBE 150MG C/60 CAP... (82%)|OMEPRAZOL 20 MG FRASCO C/56 CA... (82%)|ROSUVASTATINA CALCICA 10MG C/3... (73%)
0039442900010020253979;COMANDO DA AERONAUTICA;Contratação de serviços de Análise Físico - Química e Microbiológica de Medicamentos, para o Grupo de Saúde de Guaratinguetá GSAU-GW;0.0;INCOMPATIVEL;1;0;
1512643700030520254301;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;Registro de Preços para eventual aquisição de MEDICAMENTOS GERAIS SÓLIDOS E LÍQUIDOS I, a fim de atender às necessidades do Hospital Universitário Professor Alberto Antunes, vinculado à Universidade F;80.03;ALTA;81;64;ATROPINA 0,25% CX/100  1ML... (52%)|CARBO CALCIO 1250MG+VIT.D 400U... (52%)|CICLOPENTOLATO 10MG/ML 5ML FR... (82%)|DEXAMETASONA 2 MG AMP.1ML CX/1... (82%)|POLIMIXINA.B 500.000UI C/25 (G... (82%)
0039454400018520252949;MINISTERIO DA SAUDE;Aquisição de medicamentos Outras Categorias para atender às necessidades do Distrito Sanitário Especial  Indígena - Pernambuco (DSEI-PE), conforme Termo de Referência.;73.99;ALTA;41;31;ACIDO FOLICO 0,2MG/ML 30ML... (82%)|ACIDO FOLICO 0,2MG/ML 30ML... (82%)|CLOR.DE SODIO 0,9% 10 ML CX/20... (71%)|CARBON CALCIO 500 MG+COLECALI ... (79%)|CLOR.DE SODIO 0,9% 10 ML CX/20... (82%)
00394452000103202525179;COMANDO DO EXERCITO;Eventual aquisição de equipamentos de saúde (médicos, odontológicos, laboratoriais, de fisioterapia e nutrição), aparelho de ar condicionado, eletrodomésticos e mobiliário, incluindo a entrega, montag;51.03;MEDIA;171;4;ABSORVENTE HOSPITALAR PCT/20 F... (50%)|ABSORVENTE HOSPITALAR PCT/20 F... (50%)|ABSORVENTE HOSPITALAR PCT/20 F... (51%)|SUPORTE DE CAMA REGULAVEL P/ F... (52%)
250531170001642025285;SECRETARIA DA SAUDE;Medicamentos;0.0;INCOMPATIVEL;4;0;
250531170001642025279;SECRETARIA DA SAUDE;Medicamentos de ação no sistema nervoso central;79.87;ALTA;11;8;HALOPERIDOL 1MG CX/200 CPRS *(... (82%)|LEVOMEPROMAZINA 100MG (*C-1)G ... (82%)|LEVETIRACETAM 750MG C/30 CPR (... (82%)|MIDAZOLAM 1MG/ML AMP 5ML CX/10... (82%)|NORTRIPTILINA 75MG CX/30 CAP (... (70%)
10907425000132202536;FUNDO MUNICIPAL DE SAUDE;REGISTRO DE PREÇOS VISANDO FUTURA(S) E EVENTUAL(IS) CONTRATAÇÃO(ÕES) DE EMPRESA(S) PARA FORNECIMENTO DE MATERIAIS MEDICO HOSPITALARES DIVERSOS, DESTINADOS AO ATENDIMENTO DAS NECESSIDADES DO CENTRO DE ;53.86;MEDIA;240;73;AGUA OXIGENADA 10 VOL 100 ML... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)
271740930001272025368;MUNICIPIO DA SERRA;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MEDICAMENTOS;68.12;MEDIA;12;11;CARBONATO LITIO 300 MG *(C1) B... (51%)|CARBONATO LITIO 300 MG *(C1) B... (51%)|DIPIRONA 1GR  CXC/100 AMP.2 ML... (52%)|DIPIRONA 1GR  CXC/100 AMP.2 ML... (52%)|FLUCONAZOL 150 MG C/100CAPS... (70%)
11384874000106202521;FUNDO MUNICIPAL DE SAUDE;[LICITANET] - Registro de preços para futura e eventual aquisição de fórmulas infantis e suplementos nutricionais, visando atender às necessidades da Rede Municipal de Saúde de Campos dos Goytacazes/R;51.7;MEDIA;55;7;CLOR.DE POTASSIO 10%  10ML CX ... (52%)|CLOR.DE POTASSIO 10%  10ML CX ... (52%)|FRALDA G INFANTIL PCT C/60 FD ... (50%)|SUPLEMENTO ALIMENTAR 340 MG CX... (52%)|GLICOSE 25 %  10 ML CX C/200... (52%)
46374500000194202513024;SECRETARIA DE ESTADO DA SAUDE;Aquisição de medicamentos;84.49;ALTA;6;5;PREDNISONA 20 MG CX/20 CPR (G)... (82%)|BUPIVACAINA 0,5%  S/V 20ML TRA... (70%)|BUDESONIDA 32MCG SPRAY NASAL 1... (82%)|BICARB.SODIO 8,4%  FR  250ML... (72%)|SULFATO FERROSO 125MG/ML 30ML... (82%)
46374500000194202512955;SECRETARIA DE ESTADO DA SAUDE;Aquisição de Medicamento Importado para o atendimento de Demandas Judiciais.;58.51;MEDIA;8;6;ADRENALINA 1 MG 1ML CX/100 ADR... (50%)|GLICLAZIDA 30MG C/500 CPR (I) ... (50%)|CICLOBENZAPRINA 10MG C/30 CPR ... (70%)|DEXTROCETAMINA  50MG/ML C/50AM... (52%)|DEXTROCETAMINA  50MG/ML C/50AM... (52%)
457876780001022025411;MUNICIPIO DE VALINHOS;Aquisição de Insulinas em atendimento a mandados.;55.55;MEDIA;15;15;NIMESULIDA 100 MG CX/600 CPR (... (50%)|NIMESULIDA 100 MG CX/600 CPR (... (50%)|NIMESULIDA 100 MG CX/600 CPR (... (50%)|NIMESULIDA 100 MG CX/600 CPR (... (50%)|NIMESULIDA 100 MG CX/600 CPR (... (50%)
4636292700017220251093;MUNICIPIO DE BROTAS;Registro de preços para aquisição de medicamentos para atendimento de Ordens Judiciais, pelo período de 12 (doze) meses.;67.86;MEDIA;17;3;OLEO MINERAL 100% LIQ.100ML C/... (52%)|VITAMINA K 10MG/ML 1ML IM/S.C.... (73%)|VITAMINA K 10MG/ML 1ML IM/S.C.... (78%)
4421584600011420266;MUNICIPIO DE ARARAS;Registro de preço para aquisição de medicamentos, destinado a atender a Rede Pública Municipal de Saúde, conforme especificações constantes do Anexo I deste Edital;80.84;ALTA;76;60;ACIDO PERACETICO 0,2% 5L... (50%)|ACIDO FOLICO 0,2MG/ML 30ML... (82%)|HIOSCINA  10 MG CX/20 COMP... (52%)|HIOSCINA  10 MG CX/20 COMP... (52%)|DIPIRONA 1GR  CXC/100 AMP.2 ML... (82%)
07954480000179202524541;ESTADO DO CEARA;REGISTRO DE PREÇO - MEDICAMENTO;68.48;MEDIA;6;3;BIMATOPROSTA 0,3MG/ML 3ML FR B... (71%)|ATROPINA 0,25% CX/100  1ML... (74%)|AMITRIPTILINA 25 MG CX/200 CPR... (50%)
07954480000179202524547;ESTADO DO CEARA;REGISTRO DE PREÇO - MEDICAMENTOS;51.2;MEDIA;5;2;DIPIRONA 1GR  CXC/100 AMP.2 ML... (52%)|AMITRIPTILINA 25 MG CX/200 CPR... (50%)
07954480000179202524556;ESTADO DO CEARA;REGISTRO DE PREÇO - MATERIAL MÉDICO HOSPITALAR;0.0;INCOMPATIVEL;3;0;
07954480000179202524557;ESTADO DO CEARA;REGISTRO DE PREÇO - MEDICAMENTO ;0.0;INCOMPATIVEL;2;0;
07954480000179202524552;ESTADO DO CEARA;REGISTRO DE PREÇOS - MEDICAMENTOS;64.99;MEDIA;10;3;SERINGA 0,5 ML C/AGULHA 8,0 X ... (52%)|LEVODOPA+CARBIDOPA 250MG+25MG ... (62%)|PREGABALINA 150MG CX/28 CAP (G... (81%)
07954480000179202524559;ESTADO DO CEARA;REGISTRO DE PREÇO - MEDICAMENTO;63.44;MEDIA;11;8;BISOPROLOL 1,25MG C/30CPR (G)... (52%)|BUPROPIONA 150MG *(C-1) CX/30 ... (52%)|COLAGENASE C/CLOR.BIS 30G C/10... (52%)|HIDRALAZINA 20 MG/ML 1ML C/50 ... (52%)|RISPERIDONA 1 MG CX/200 CPR *(... (81%)
07954480000179202524561;ESTADO DO CEARA;REGISTRO DE PREÇO - MEDICAMENTO;68.57;MEDIA;13;9;DIOSMINA+HESPER 450MG+50MG CX/... (82%)|ESPIRONOLACTONA 100 MG CX/30 C... (81%)|ISOSSORBIDA 10MG/ML C/50 AMP 1... (52%)|METFORMINA 500MG C/30 CPR (G)... (52%)|NALTREXONA 50MG C/30 CPR (I)... (52%)
12921556000108202522;FUNDO MUNICIPAL DE SAUDE;REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE MEDICAMENTOS INJETÁVEIS (SEGUNDA CHAMADA), VISANDO O ATENDIMENTO DAS NECESSIDADES DA FARMACIA MUNICIPAL E SECRETARIA MUNICIPAL DE SAÚDE DE RIACHO;73.87;ALTA;36;30;BUPIVACAINA 0,5% PESADA EST. C... (52%)|BUPIVACAINA 0,5% PESADA EST. C... (52%)|GLICOSE 25 %  10 ML CX C/200... (82%)|BUPIVACAINA 0,5% PESADA EST. C... (52%)|CLORPROMAZINA 4% GTS 20ML (C1 ... (81%)
182780510001452025340;MUNICIPIO DE PARACATU;AQUISIÇÃO DE MATERIAIS PERMANENTES PARA ATENDER AS NECESSIDADES DO DEPARTAMENTO DE DE SAÚDE BUCAL DO MUNICÍPIO.;51.9;MEDIA;31;5;SERINGA 0,5 ML C/AGULHA 8,0 X ... (52%)|ALCOOL 70% 100 ML ALMOTOLIA... (52%)|CAMPO 10X09 09G EST RAD DUPLA ... (52%)|GLICOSE 25 %  10 ML CX C/200... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)
182780510001452025341;MUNICIPIO DE PARACATU;AQUISIÇÃO DE MATERIAIS PERMANENTES PARA ATENDER ÀS NECESSIDADES DO DEPARTAMENTO DE SAÚDE BUCAL DO MUNICÍPIO;51.9;MEDIA;35;4;ALCOOL 70% 100 ML ALMOTOLIA... (52%)|CAMPO 10X09 09G EST RAD DUPLA ... (52%)|GLICOSE 25 %  10 ML CX C/200... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)
11402080000128202516;FUNDO MUNICIPAL DE SAUDE;[LICITANET] - REGISTRO DE PREÇOS PARA EVENTUAL E FUTURA AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR PARA ATENDER AS NECESSIDADES DOS USUÁRIOS SUS DO MUNICÍPIO DE CARIRA, CONFORME ANEXO II - TERMO DE REFER;55.6;MEDIA;282;49;AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)
18308734000106202554;MUNICIPIO DE SAO SEBASTIAO DO OESTE;[LICITANET] - AQUISIÇÃO EVENTUAL E FUTURA DE MATERIAIS PERMANENTES E DE CONSUMO E MÉDICO HOSPITALARES PARA ATENDIMENTO DAS NECESSIDADES DAS SECRETARIAS MUNICIPAIS REQUISITANTES, DE ACORDO COM AS CONDI;51.9;MEDIA;150;4;ALCOOL 70% 100 ML ALMOTOLIA... (52%)|LENCOL C/ELASTICO 2X0,90... (52%)|SERINGA 0,5 ML C/AGULHA 8,0 X ... (52%)|ALCOOL 70% 100 ML ALMOTOLIA... (52%)
1393703200016020252665;ESTADO DA BAHIA;"Aquisição de material de consumo médico-hospitalar e de insumos de radiodiagnóstico por imagem
(LUVA, DRENO, BOLSA ETC), para compor o sistema de registro de preço.";0.0;INCOMPATIVEL;8;0;
07954480000179202524618;ESTADO DO CEARA;O objeto da licitação é o Registro de Preço para futuras e eventuais aquisições de medicamentos, nas condições estabelecidas neste edital e seus anexos.;73.37;ALTA;7;3;RISPERIDONA 1 MG CX/200 CPR *(... (73%)|RISPERIDONA 1 MG CX/200 CPR *(... (73%)|RISPERIDONA 1 MG CX/200 CPR *(... (73%)
1512643700030520254441;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;Aquisição de Material Farmacológico (Medicamentos Especialmente Manipulados);82.5;ALTA;23;1;CODEINA 30 MG CX/30 CPRS (C-1)... (82%)
1057202200018020251249;SECRETARIA DE ADMINISTRACAO;Formação de Registro de Preços para o fornecimento eventual de Dispositivos Médicos do tipo Materiais Descartáveis (SONDAS), visando atender as necessidades dos hospitais e estabelecimentos vinculados;0.0;INCOMPATIVEL;29;0;
067505250001202025172;CEARA ASSEMBLEIA LEGISLATIVA;Registro de preço para futuras e eventuais aquisições de material de consumo: “agulhas para acupuntura, pastilhas a base de silício, semente de vacária, óleo de  amêndoas, abafador para moxa, e jogo d;51.9;MEDIA;9;4;AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)
08288700000135202515;FUNDO MUNICIPAL DE SAUDE;[LICITANET] - AQUISIÇÃO EVENTUAL FUTURA E PARCELADA DE SUPLEMENTAÇÃO ALIMENTAR E FÓRMULAS NUTRICIONAIS ESPECIALIZADAS PARA ATENDER AS DEMANDAS DO FUNDO MUNICIPAL DE SAÚDE DE CACHOEIRA ALTA – GO;51.9;MEDIA;59;5;SUPLEMENTO ALIMENTAR 340 MG CX... (52%)|GLICOSE 25 %  10 ML CX C/200... (52%)|SUPLEMENTO ALIMENTAR 340 MG CX... (52%)|AAS 100 MG INF C/500 CPR... (52%)|GLICOSE 25 %  10 ML CX C/200... (52%)
4527963500010820251148;MUNICIPIO DE ATIBAIA;REGISTRO DE PREÇO PARA EVENTUAL AQUISIÇÃO DE MATERIAIS FARMACOLÓGICOS, DESTINADOS AO USO NAS FARMÁCIAS DAS UNIDADES DE SAÚDE DA SECRETARIA MUNICIPAL DE SAÚDE, COM ENTREGAS PARCELADAS POR UM PERÍODO DE;78.65;ALTA;31;25;ACIDO FOLINICO 15MG CX/500 CPR... (82%)|ALBENDAZOL 4% CX/60 FR 10ML AL... (82%)|AMIODARONA  50MG/ML 3ML C/100 ... (52%)|CEFTRIAXONA 1G PO IV F/A CX/10... (82%)|AZITROMICINA 500MG C/500 CPRS ... (76%)
07954480000179202524638;ESTADO DO CEARA;REGISTRO DE PREÇO - MEDICAMENTO;80.29;ALTA;11;7;ESOMEPRAZOL SODICO 40MG FA PO ... (71%)|GLICLAZIDA 30MG C/500 CPR (I) ... (80%)|LAMOTRIGINA 100MG CX C/30CPR *... (81%)|LAMOTRIGINA 100MG CX C/30CPR *... (81%)|LEVETIRACETAM 750MG C/30 CPR (... (81%)
501225710001772025535;MUNICIPIO DE ITATIBA;O Registro de Preços pelo prazo de 12 (doze) meses para eventual aquisição de medicamento e/ou suplementos para a Secretaria de Saúde e em cumprimento à Ação Judicial;79.93;ALTA;93;72;AMINOFILINA 240 MG 10ML C/100 ... (81%)|MIDAZOLAM 1MG/ML AMP 5ML CX/10... (80%)|HALOPERIDOL 1MG CX/200 CPRS *(... (81%)|AMIODARONA  50MG/ML 3ML C/100 ... (80%)|DICLOF.SODIO 50 MG CX C/20... (75%)
037554770001752025154;MUNICIPIO DE MIRASSOL D'OESTE;[LICITANET] - AQUISIÇÃO DE INSUMOS E MATERIAIS ODONTOLÓGICOS PARA AS UNIDADES BÁSICAS DE SAÚDE – NO SISTEMA DE REGISTRO DE PREÇOS;51.9;MEDIA;207;24;SERINGA 0,5 ML C/AGULHA 8,0 X ... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|ALCOOL 70% ETILICO HIDRATADO 1... (52%)
12219015000124202533;FUNDO MUNICIPAL DE SAUDE DE ITABAIANA SERGIPE;REGISTRO DE PREÇOS OBJETIVANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE EQUIPAMENTOS, MATERIAIS DE CONSUMO E MATERIAIS PERMANENTES DESTINADOS À ÁREA DA SAÚDE, INCLUINDO ITENS MÉDICOS, HOSPITALARES, ODONTOLÓG;51.9;MEDIA;151;4;AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|CAMPO 10X09 09G EST RAD DUPLA ... (52%)|CAMPO 10X09 09G EST RAD DUPLA ... (52%)|CAMPO 10X09 09G EST RAD DUPLA ... (52%)
02401218000183202533;CONSORCIO PUBLICO INTERMUNICIPAL DE SAUDE DO ALTO PARAOPEBA E VALE DO PIRANGA - CISAP-VP;Aquisição de medicamentos de referência (éticos), genéricos e similares, com base no maior percentual de desconto a ser ofertado sobre os valores constantes do Banco de Preços do Tribunal de Contas do;0.0;INCOMPATIVEL;3;0;
1393703200016020252678;ESTADO DA BAHIA;"Aquisição de material de consumo médico-hospitalar e de insumos de radiodiagnóstico por imagem
(BALAO, SONDA, FIO ETC), para compor o sistema de registro de preço.";51.9;MEDIA;7;2;AGULHA 13 X 0,45 C/DISP SEG C/... (52%)|AGULHA 13 X 0,45 C/DISP SEG C/... (52%)
46374500000194202513068;SECRETARIA DE ESTADO DA SAUDE;Registro de preço para aquisição de medicamento manipulado PERP 365/2025;57.09;MEDIA;1;1;ALCOOL 70% ETILICO HIDRATADO 1... (52%)
1512643700030520254449;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;Aquisição de material farmacológico - Medicamentos manipulados.;73.67;ALTA;7;5;AZITROMICINA 500MG C/500 CPRS ... (75%)|ADRENALINA 1 MG 1ML CX/100 ADR... (71%)|AZITROMICINA 500MG C/500 CPRS ... (75%)|CLOR.SODIO 20 % 10ML CX/200... (70%)|LIDOCAINA 10 % SPRAY 50ML (G)... (52%)
1512643700030520254430;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;Registro de Preços para a aquisição de medicamentos de uso geral, a fim de atender às necessidades da Maternidade Escola Januário Cicco (MEJC/UFRN), Unidade Gestora (UG) 155015, pertencente à Rede da ;75.97;ALTA;88;77;ACETILCISTEINA 10% C/5AMP 3ML ... (82%)|ACICLOVIR 200 MG CX/30 CPR (G)... (82%)|ALCOOL 70% ETILICO HIDRATADO 1... (52%)|ALCOOL 70% ETILICO HIDRATADO 1... (52%)|ALCOOL 70% ETILICO HIDRATADO 1... (52%)
291127600001722025221;BOM JESUS DO ITABAPOANA PREFEITURA;Registro de preços para futura e eventual aquisição de materiais laboratoriais para atender a secretaria de saúde do município de bom jesus do itabapoana/rj;55.06;MEDIA;124;11;DETERGENTE ENZIMA 4 ENZ 1LT PR... (72%)|DETERGENTE ENZIMA 4 ENZ 1LT PR... (72%)|TIAMINA 100MG CX/100 AMP X 1ML... (50%)|SORO GLICOSADO 5% SIST.FECHADO... (52%)|SORO GLICOSADO 5% SIST.FECHADO... (52%)
1057202200018020251256;SECRETARIA DE ADMINISTRACAO;A presente licitação tem como objeto o fornecimento do(s) medicamento(s) AUSTEDO, visando atender as necessidades do Núcleo de Ações Judiciais (NAJ - SES/PE), vinculado à Secretaria Estadual de Saúde,;0.0;INCOMPATIVEL;2;0;
1512643700030520254178;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;Aquisição de produtos para saúde, do tipo: CATÉTER GUIA AMPLATZ_CATETER GUIA MAMARIA_FIO GUIA_INTRODUTOR PERCUTANEO_MANIFOLD deste HUUFMA para atender ao Hospital Universitário da Universidade Federal;75.87;ALTA;30;2;TORNEIRA 03 VIAS LUER LOCK... (76%)|TORNEIRA 03 VIAS LUER LOCK... (76%)
249504950001882025224;MUNICIPIO DE CAMPO VERDE;[LICITANET] - REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE SUPLEMENTO ALIMENTAR, VISANDO ATENDER À DEMANDA GERAL DA SECRETARIA MUNICIPAL DE SAÚDE E DA SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOC;58.02;MEDIA;35;5;SUPLEMENTO ALIMENTAR 340 MG CX... (82%)|SUPLEMENTO ALIMENTAR 340 MG CX... (52%)|AAS 100 MG INF C/500 CPR... (52%)|CLOR.DE POTASSIO 10%  10ML CX ... (52%)|SUPLEMENTO ALIMENTAR 340 MG CX... (52%)
186667500001622025185;MUNICIPIO DE ITAMONTE;Registro de preços visando a futura e eventual aquisição de vacina imunoglobulina anti RH, visando suprir as necessidades das Secretaria Municipal de Saúde.;0.0;INCOMPATIVEL;1;0;
271741350001202025150;MUNICIPIO DE GUACUI;Aquisição de Medicamentos de Ordem Judicial para posterior dispensação pela Farmácia Básica Municipal, solicitado pela Secretaria Municipal de Saúde.;72.4;ALTA;18;4;DOXAZOSINA 2MG CX/30 CPR (G)... (74%)|CINARIZINA 25 MG CX/30 COMP (I... (50%)|RISPERIDONA 1 MG CX/200 CPR *(... (82%)|OXCARBAZEPINA 300MG C/60 CPR (... (82%)
18684217000123202575;MUNICIPIO DE BOM JARDIM DE MINAS;[Portal de Compras Públicas] - Registro de Preços, pelo período de 12 meses, para eventual e futura aquisição de medicamentos éticos, genéricos, similares, específicos, biológicos e fitoterápicos, con;0.0;INCOMPATIVEL;6;0;
1788441200013420251489;MUNICIPIO DE ANDRADAS;PREGÃO - ATA REGISTRO DE PREÇO - AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES, DESTINADOS À ESTRUTURAÇÃO E MELHORIA DAS CONDIÇÕES DE FUNCIONAMENTO DAS SEGUINTES UNIDADES BÁSICAS DE SAÚDE (UBS) DO;51.9;MEDIA;65;1;CAMPO 10X09 09G EST RAD DUPLA ... (52%)
4637450000019420261311;SECRETARIA DE ESTADO DA SAUDE;Aquisição de Medicamento para atender Mandado Judicial.;0.0;INCOMPATIVEL;1;0;
46374500000194202513066;SECRETARIA DE ESTADO DA SAUDE;Aquisição de matéria-prima farmacêutica Lactose monohidratada spray dried;0.0;INCOMPATIVEL;1;0;
46374500000194202512784;SECRETARIA DE ESTADO DA SAUDE;O objeto da presente licitação é a aquisição de medicamentos conforme condições, quantidades e exigências estabelecidas neste Edital e seus Anexos.;0.0;INCOMPATIVEL;2;0;
